 Name         Version  License                                                                    URL                                          
 Nuitka       2.5.1    Apache Software License                                                    https://nuitka.net                           
 keyboard     0.13.5   MIT License                                                                https://github.com/boppreh/keyboard          
 mss          10.0.0   MIT License                                                                https://github.com/BoboTiG/python-mss        
 ordered-set  4.1.0    MIT License                                                                UNKNOWN                                      
 pillow       11.0.0   CMU License (MIT-CMU)                                                      https://python-pillow.org                    
 pynput       1.7.7    GNU Lesser General Public License v3 (LGPLv3)                              https://github.com/moses-palmer/pynput       
 pywin32      308      Python Software Foundation License                                         https://github.com/mhammond/pywin32          
 screeninfo   0.8.1    MIT License                                                                https://github.com/rr-/screeninfo            
 six          1.16.0   MIT License                                                                https://github.com/benjaminp/six             
 wxPython     4.2.2    wxWindows Library License (https://opensource.org/licenses/wxwindows.php)  http://wxPython.org/                         
 zstandard    0.23.0   BSD License                                                                https://github.com/indygreg/python-zstandard 
